timestamp,nodeId,rssi,temp,hum,light,co2ppm,soilMoisture,voltage,state
2025-06-09 18:00:07,NODE_1,-67,26.30,64.00,884,887.00,0.00,7.30,1
2025-06-09 18:00:18,NODE_1,-67,26.00,64.00,896,883.00,0.00,7.29,1
2025-06-09 18:00:28,NODE_1,-66,26.40,64.00,881,891.00,0.00,7.31,1
2025-06-09 18:00:38,NODE_1,-66,26.20,64.00,880,883.00,0.00,7.29,1
2025-06-09 18:00:48,NODE_1,-67,26.30,64.00,880,882.00,0.00,7.29,1
2025-06-09 18:00:58,NODE_1,-67,26.70,64.00,879,892.00,0.00,7.30,1
2025-06-09 18:01:08,NODE_1,-66,26.70,64.00,866,896.00,0.00,7.30,1
2025-06-09 18:01:18,NODE_1,-65,26.90,64.00,880,897.00,0.00,7.30,1
2025-06-09 18:01:28,NODE_1,-66,26.00,64.00,875,905.00,0.00,7.29,1
2025-06-09 18:01:38,NODE_1,-66,26.30,64.00,864,901.00,0.00,7.31,1
2025-06-09 18:01:48,NODE_1,-64,26.60,64.00,875,899.00,0.00,7.30,1
2025-06-09 18:01:58,NODE_1,-66,26.40,64.00,874,899.00,0.00,7.28,1
2025-06-09 18:02:08,NODE_1,-66,26.10,64.00,875,884.00,0.00,7.31,1
2025-06-09 18:02:18,NODE_1,-66,26.10,64.00,864,874.00,0.00,7.31,1
2025-06-09 18:02:28,NODE_1,-66,26.10,64.00,874,868.00,0.00,7.29,1
2025-06-09 18:02:38,NODE_1,-65,26.30,64.00,867,865.00,0.00,7.29,1
2025-06-09 18:02:49,NODE_1,-66,26.80,64.00,868,870.00,0.00,7.32,1
2025-06-09 18:02:59,NODE_1,-66,26.40,64.00,873,875.00,0.00,7.31,1
2025-06-09 18:03:09,NODE_1,-66,26.60,64.00,870,870.00,0.00,7.30,1
2025-06-09 18:03:19,NODE_1,-65,26.90,64.00,879,879.00,0.00,7.30,1
2025-06-09 18:03:29,NODE_1,-65,26.20,64.00,873,876.00,0.00,7.31,1
2025-06-09 18:03:39,NODE_1,-65,26.90,64.00,867,877.00,0.00,7.31,1
2025-06-09 18:03:49,NODE_1,-65,26.40,64.00,867,872.00,0.00,7.31,1
2025-06-09 18:03:59,NODE_1,-66,26.00,64.00,880,873.00,0.00,7.29,1
2025-06-09 18:04:09,NODE_1,-65,26.90,64.00,870,873.00,0.00,7.31,1
