timestamp,nodeId,rssi,temp,hum,light,co2ppm,soilMoisture,voltage,state
2025-06-10 08:00:06,NODE_1,-66,26.10,59.00,231,395.00,0.00,7.29,1
2025-06-10 08:00:16,NODE_1,-67,26.20,59.00,233,395.00,0.00,7.28,1
2025-06-10 08:00:26,NODE_1,-66,26.10,59.00,232,391.00,0.00,7.31,1
2025-06-10 08:00:36,NODE_1,-67,26.30,59.00,224,387.00,0.00,7.30,1
2025-06-10 08:00:46,NODE_1,-67,26.20,59.00,234,390.00,0.00,7.29,1
2025-06-10 08:00:57,NODE_1,-67,26.10,59.00,235,389.00,0.00,7.29,1
2025-06-10 08:01:07,NODE_1,-67,26.90,59.00,240,389.00,0.00,7.29,1
2025-06-10 08:01:17,NODE_1,-66,26.80,59.00,235,394.00,0.00,7.29,1
2025-06-10 08:01:27,NODE_1,-66,26.60,59.00,226,388.00,0.00,7.30,1
2025-06-10 08:01:37,NODE_1,-66,26.10,59.00,231,387.00,0.00,7.29,1
2025-06-10 08:01:47,NODE_1,-67,26.40,59.00,229,386.00,0.00,7.28,1
2025-06-10 08:01:57,NODE_1,-67,26.00,59.00,240,388.00,0.00,7.30,1
2025-06-10 08:02:07,NODE_1,-67,26.60,59.00,233,386.00,0.00,7.29,1
2025-06-10 08:02:17,NODE_1,-67,26.90,59.00,239,386.00,0.00,7.30,1
2025-06-10 08:02:27,NODE_1,-67,26.20,59.00,234,387.00,0.00,7.29,1
2025-06-10 08:02:37,NODE_1,-66,26.70,59.00,237,384.00,0.00,7.27,1
2025-06-10 08:02:47,NODE_1,-66,26.80,59.00,242,384.00,0.00,7.31,1
2025-06-10 08:02:57,NODE_1,-66,26.70,59.00,237,387.00,0.00,7.30,1
2025-06-10 08:03:08,NODE_1,-67,26.40,59.00,240,384.00,0.00,7.28,1
2025-06-10 08:03:18,NODE_1,-66,26.20,59.00,251,384.00,0.00,7.29,1
2025-06-10 08:03:28,NODE_1,-67,26.70,59.00,239,382.00,0.00,7.31,1
2025-06-10 08:03:38,NODE_1,-67,26.40,59.00,243,382.00,0.00,7.29,1
2025-06-10 08:03:48,NODE_1,-67,26.80,59.00,250,384.00,0.00,7.31,1
2025-06-10 08:03:58,NODE_1,-67,26.70,59.00,246,381.00,0.00,7.26,1
2025-06-10 08:04:08,NODE_1,-66,26.90,59.00,246,382.00,0.00,7.27,1
2025-06-10 08:04:18,NODE_1,-66,26.10,59.00,250,377.00,0.00,7.29,1
2025-06-10 08:04:28,NODE_1,-67,26.90,59.00,254,382.00,0.00,7.30,1
2025-06-10 08:04:38,NODE_1,-66,26.60,59.00,247,377.00,0.00,7.29,1
2025-06-10 08:04:48,NODE_1,-66,26.80,59.00,254,378.00,0.00,7.29,1
