timestamp,nodeId,rssi,temp,hum,light,co2ppm,soilMoisture,voltage,state
2025-06-10 00:00:04,NODE_1,-63,26.50,58.00,2494,390.00,0.00,7.28,1
2025-06-10 00:00:14,NODE_1,-62,26.60,58.00,2494,383.00,0.00,7.29,1
2025-06-10 00:00:25,NODE_1,-67,26.40,58.00,2497,383.00,0.00,7.30,1
2025-06-10 00:00:35,NODE_1,-69,26.10,58.00,2490,397.00,0.00,7.29,1
2025-06-10 00:00:45,NODE_1,-66,26.60,58.00,2498,407.00,0.00,7.31,1
2025-06-10 00:00:55,NODE_1,-67,26.40,58.00,2498,427.00,0.00,7.32,1
2025-06-10 00:01:05,NODE_1,-67,26.90,58.00,2495,453.00,0.00,7.31,1
2025-06-10 00:01:15,NODE_1,-67,26.50,58.00,2494,456.00,0.00,7.30,1
2025-06-10 00:01:25,NODE_1,-67,26.70,58.00,2501,446.00,0.00,7.29,1
2025-06-10 00:01:35,NODE_1,-67,26.40,58.00,2506,429.00,0.00,7.31,1
2025-06-10 00:01:45,NODE_1,-62,26.80,58.00,2508,426.00,0.00,7.29,1
2025-06-10 00:01:55,NODE_1,-63,26.10,58.00,2500,406.00,0.00,7.29,1
2025-06-10 00:02:05,NODE_1,-67,26.20,58.00,2498,402.00,0.00,7.30,1
2025-06-10 00:02:15,NODE_1,-67,26.40,58.00,2497,400.00,0.00,7.31,1
2025-06-10 00:02:25,NODE_1,-68,26.10,58.00,2498,398.00,0.00,7.31,1
2025-06-10 00:02:36,NODE_1,-67,26.30,58.00,2503,387.00,0.00,7.30,1
2025-06-10 00:02:46,NODE_1,-63,26.60,58.00,2497,386.00,0.00,7.31,1
2025-06-10 00:02:56,NODE_1,-66,26.10,58.00,2499,380.00,0.00,7.31,1
2025-06-10 00:03:06,NODE_1,-67,26.40,58.00,2501,373.00,0.00,7.31,1
2025-06-10 00:03:16,NODE_1,-67,26.00,58.00,2495,368.00,0.00,7.30,1
2025-06-10 00:03:26,NODE_1,-67,26.30,58.00,2496,369.00,0.00,7.31,1
2025-06-10 00:03:36,NODE_1,-66,26.90,58.00,2502,384.00,0.00,7.31,1
2025-06-10 00:03:46,NODE_1,-66,26.50,58.00,2496,390.00,0.00,7.29,1
2025-06-10 00:03:56,NODE_1,-67,26.70,58.00,2492,395.00,0.00,7.30,1
2025-06-10 00:04:06,NODE_1,-67,26.30,58.00,2495,407.00,0.00,7.31,1
2025-06-10 00:04:16,NODE_1,-67,26.80,58.00,2498,405.00,0.00,7.31,1
2025-06-10 00:04:26,NODE_1,-66,26.80,58.00,2495,405.00,0.00,7.28,1
2025-06-10 00:04:36,NODE_1,-66,26.90,58.00,2505,422.00,0.00,7.29,1
2025-06-10 00:04:47,NODE_1,-66,26.00,58.00,2507,409.00,0.00,7.31,1
2025-06-10 00:04:57,NODE_1,-67,26.00,58.00,2498,410.00,0.00,7.31,1
2025-06-10 00:05:07,NODE_1,-65,26.10,58.00,2495,410.00,0.00,7.31,1
2025-06-10 00:05:17,NODE_1,-67,26.20,58.00,2495,406.00,0.00,7.30,1
2025-06-10 00:05:27,NODE_1,-62,26.20,58.00,2497,398.00,0.00,7.31,1
2025-06-10 00:05:37,NODE_1,-65,26.10,58.00,2495,399.00,0.00,7.29,1
2025-06-10 00:05:47,NODE_1,-67,26.20,58.00,2503,401.00,0.00,7.31,1
2025-06-10 00:05:57,NODE_1,-67,26.70,58.00,2501,407.00,0.00,7.31,1
2025-06-10 00:06:07,NODE_1,-66,26.20,58.00,2498,394.00,0.00,7.30,1
2025-06-10 00:06:17,NODE_1,-65,26.80,58.00,2496,388.00,0.00,7.30,1
2025-06-10 00:06:27,NODE_1,-68,26.70,58.00,2497,377.00,0.00,7.31,1
2025-06-10 00:06:37,NODE_1,-67,26.30,58.00,2499,368.00,0.00,7.29,1
2025-06-10 00:06:47,NODE_1,-66,26.00,58.00,2495,370.00,0.00,7.29,1
2025-06-10 00:06:58,NODE_1,-66,26.00,58.00,2494,375.00,0.00,7.31,1
2025-06-10 00:07:08,NODE_1,-67,26.10,58.00,2505,372.00,0.00,7.34,1
2025-06-10 00:07:18,NODE_1,-67,26.50,58.00,2509,373.00,0.00,7.31,1
2025-06-10 00:07:28,NODE_1,-66,26.60,58.00,2497,371.00,0.00,7.30,1
2025-06-10 00:07:38,NODE_1,-67,26.40,58.00,2502,377.00,0.00,7.30,1
2025-06-10 00:07:48,NODE_1,-65,26.40,58.00,2505,393.00,0.00,7.31,1
2025-06-10 00:07:58,NODE_1,-66,26.00,58.00,2495,384.00,0.00,7.30,1
2025-06-10 00:08:08,NODE_1,-66,26.60,58.00,2498,380.00,0.00,7.31,1
2025-06-10 00:08:18,NODE_1,-66,26.40,58.00,2499,384.00,0.00,7.31,1
2025-06-10 00:08:28,NODE_1,-67,26.50,58.00,2492,375.00,0.00,7.31,1
2025-06-10 00:08:38,NODE_1,-67,26.60,58.00,2493,369.00,0.00,7.29,1
2025-06-10 00:08:48,NODE_1,-67,26.00,58.00,2498,368.00,0.00,7.31,1
2025-06-10 00:08:58,NODE_1,-68,26.50,58.00,2498,370.00,0.00,7.31,1
2025-06-10 00:09:09,NODE_1,-67,26.00,58.00,2514,375.00,0.00,7.31,1
2025-06-10 00:09:19,NODE_1,-68,26.90,58.00,2503,398.00,0.00,7.30,1
2025-06-10 00:09:29,NODE_1,-68,26.50,58.00,2499,400.00,0.00,7.29,1
2025-06-10 00:09:39,NODE_1,-68,26.00,58.00,2499,400.00,0.00,7.30,1
2025-06-10 00:09:49,NODE_1,-67,26.80,58.00,2507,403.00,0.00,7.29,1
2025-06-10 00:09:59,NODE_1,-67,26.60,58.00,2499,422.00,0.00,7.31,1
2025-06-10 00:10:09,NODE_1,-67,26.00,58.00,2496,442.00,0.00,7.31,1
2025-06-10 00:10:19,NODE_1,-67,26.10,58.00,2503,467.00,0.00,7.32,1
2025-06-10 00:10:29,NODE_1,-64,26.00,57.00,2499,471.00,0.00,7.31,1
2025-06-10 00:10:39,NODE_1,-67,26.80,57.00,2507,470.00,0.00,7.30,1
2025-06-10 00:10:49,NODE_1,-67,26.30,58.00,2497,454.00,0.00,7.30,1
2025-06-10 00:10:59,NODE_1,-68,26.30,58.00,2496,432.00,0.00,7.31,1
2025-06-10 00:11:10,NODE_1,-68,26.00,58.00,2494,417.00,0.00,7.28,1
2025-06-10 00:11:20,NODE_1,-67,26.00,58.00,2500,403.00,0.00,7.30,1
2025-06-10 00:11:30,NODE_1,-67,26.60,58.00,2491,393.00,0.00,7.31,1
2025-06-10 00:11:40,NODE_1,-67,26.60,58.00,2501,388.00,0.00,7.31,1
2025-06-10 00:11:50,NODE_1,-66,26.00,58.00,2490,398.00,0.00,7.31,1
2025-06-10 00:12:00,NODE_1,-66,26.80,58.00,2498,401.00,0.00,7.30,1
2025-06-10 00:12:10,NODE_1,-67,26.40,58.00,2490,406.00,0.00,7.30,1
2025-06-10 00:12:20,NODE_1,-66,26.20,58.00,2492,419.00,0.00,7.29,1
2025-06-10 00:12:30,NODE_1,-66,26.10,58.00,2500,424.00,0.00,7.29,1
2025-06-10 00:12:40,NODE_1,-66,26.90,58.00,2498,432.00,0.00,7.30,1
2025-06-10 00:12:50,NODE_1,-65,26.60,58.00,2503,415.00,0.00,7.30,1
2025-06-10 00:13:00,NODE_1,-65,26.70,58.00,2504,400.00,0.00,7.30,1
2025-06-10 00:13:10,NODE_1,-66,26.00,58.00,2494,400.00,0.00,7.31,1
2025-06-10 00:13:21,NODE_1,-65,26.30,58.00,2492,400.00,0.00,7.30,1
2025-06-10 00:13:31,NODE_1,-67,26.90,58.00,2499,389.00,0.00,7.30,1
2025-06-10 00:13:41,NODE_1,-66,26.50,58.00,2487,384.00,0.00,7.31,1
2025-06-10 00:13:51,NODE_1,-61,26.60,58.00,2497,384.00,0.00,7.30,1
2025-06-10 00:14:01,NODE_1,-67,26.70,58.00,2496,384.00,0.00,7.31,1
2025-06-10 00:14:11,NODE_1,-65,26.30,58.00,2494,383.00,0.00,7.30,1
2025-06-10 00:14:21,NODE_1,-62,26.40,58.00,2499,391.00,0.00,7.31,1
2025-06-10 00:14:31,NODE_1,-67,26.90,58.00,2493,396.00,0.00,7.28,1
2025-06-10 00:14:41,NODE_1,-67,26.00,58.00,2497,391.00,0.00,7.29,1
2025-06-10 00:14:51,NODE_1,-67,26.60,58.00,2496,393.00,0.00,7.29,1
2025-06-10 00:15:01,NODE_1,-67,26.40,58.00,2499,400.00,0.00,7.31,1
2025-06-10 00:15:11,NODE_1,-66,26.80,58.00,2491,399.00,0.00,7.31,1
2025-06-10 00:15:21,NODE_1,-67,26.80,58.00,2489,391.00,0.00,7.31,1
2025-06-10 00:15:32,NODE_1,-67,26.50,58.00,2496,388.00,0.00,7.31,1
2025-06-10 00:15:42,NODE_1,-67,26.10,58.00,2495,391.00,0.00,7.31,1
2025-06-10 00:15:52,NODE_1,-67,26.30,58.00,2494,400.00,0.00,7.29,1
2025-06-10 00:16:02,NODE_1,-64,26.30,58.00,2506,389.00,0.00,7.30,1
2025-06-10 00:16:12,NODE_1,-67,26.00,58.00,2511,382.00,0.00,7.30,1
2025-06-10 00:16:22,NODE_1,-66,26.90,58.00,2495,379.00,0.00,7.30,1
2025-06-10 00:16:32,NODE_1,-65,26.60,58.00,2496,368.00,0.00,7.31,1
2025-06-10 00:16:42,NODE_1,-68,26.70,58.00,2489,370.00,0.00,7.30,1
2025-06-10 00:16:52,NODE_1,-66,26.60,58.00,2496,372.00,0.00,7.30,1
2025-06-10 00:17:02,NODE_1,-66,26.30,58.00,2495,379.00,0.00,7.31,1
2025-06-10 00:17:12,NODE_1,-68,26.70,58.00,2496,377.00,0.00,7.31,1
2025-06-10 00:17:22,NODE_1,-67,26.60,58.00,2496,374.00,0.00,7.31,1
2025-06-10 00:17:32,NODE_1,-67,26.00,58.00,2496,374.00,0.00,7.31,1
2025-06-10 00:17:43,NODE_1,-67,26.40,58.00,2497,368.00,0.00,7.31,1
2025-06-10 00:17:53,NODE_1,-67,26.00,58.00,2501,372.00,0.00,7.29,1
2025-06-10 00:18:03,NODE_1,-66,26.60,58.00,2502,368.00,0.00,7.31,1
2025-06-10 00:18:13,NODE_1,-68,26.80,58.00,2499,369.00,0.00,7.31,1
2025-06-10 00:18:23,NODE_1,-65,26.20,58.00,2498,377.00,0.00,7.31,1
2025-06-10 00:18:33,NODE_1,-67,26.80,58.00,2495,380.00,0.00,7.29,1
2025-06-10 00:18:43,NODE_1,-66,26.20,58.00,2496,381.00,0.00,7.31,1
2025-06-10 00:18:53,NODE_1,-67,26.00,58.00,2493,383.00,0.00,7.30,1
2025-06-10 00:19:03,NODE_1,-69,26.20,58.00,2499,385.00,0.00,7.30,1
2025-06-10 00:19:13,NODE_1,-62,26.60,58.00,2501,377.00,0.00,7.31,1
2025-06-10 00:19:23,NODE_1,-67,26.20,58.00,2496,375.00,0.00,7.30,1
2025-06-10 00:19:33,NODE_1,-67,26.20,58.00,2503,366.00,0.00,7.31,1
2025-06-10 00:19:43,NODE_1,-68,26.20,58.00,2503,368.00,0.00,7.31,1
2025-06-10 00:19:54,NODE_1,-67,26.90,58.00,2496,364.00,0.00,7.30,1
2025-06-10 00:20:04,NODE_1,-67,26.40,58.00,2497,377.00,0.00,7.30,1
2025-06-10 00:20:14,NODE_1,-65,26.90,58.00,2498,394.00,0.00,7.30,1
2025-06-10 00:20:24,NODE_1,-65,26.40,58.00,2495,384.00,0.00,7.31,1
2025-06-10 00:20:34,NODE_1,-65,26.60,59.00,2497,370.00,0.00,7.29,1
2025-06-10 00:20:44,NODE_1,-65,26.70,58.00,2494,386.00,0.00,7.30,1
2025-06-10 00:20:54,NODE_1,-65,26.80,58.00,2499,393.00,0.00,7.31,1
2025-06-10 00:21:04,NODE_1,-64,26.20,58.00,2494,381.00,0.00,7.29,1
2025-06-10 00:21:14,NODE_1,-66,26.00,58.00,2498,382.00,0.00,7.31,1
2025-06-10 00:21:24,NODE_1,-67,26.50,58.00,2490,382.00,0.00,7.31,1
2025-06-10 00:21:34,NODE_1,-65,26.40,58.00,2486,379.00,0.00,7.31,1
2025-06-10 00:21:44,NODE_1,-67,26.10,58.00,2498,374.00,0.00,7.29,1
2025-06-10 00:21:55,NODE_1,-66,26.30,58.00,2493,370.00,0.00,7.31,1
