timestamp,nodeId,rssi,temp,hum,light,co2ppm,soilMoisture,voltage
2025-06-08 20:00:03,NODE_1,-40,26.30,61.00,1101,790.00,0.00,0.00
2025-06-08 20:00:13,NODE_1,-40,26.70,61.00,1105,798.00,0.00,0.00
2025-06-08 20:00:23,NODE_1,-40,26.10,61.00,1070,784.00,0.00,0.00
2025-06-08 20:00:33,NODE_1,-40,27.40,61.00,1090,834.00,0.00,0.00
2025-06-08 20:00:43,NODE_1,-40,27.20,60.00,1102,789.00,0.00,0.00
2025-06-08 20:00:53,NODE_1,-40,27.30,60.00,1090,795.00,0.00,0.00
2025-06-08 20:01:03,NODE_1,-40,27.20,60.00,1089,843.00,0.00,0.00
2025-06-08 20:01:13,NODE_1,-40,27.70,60.00,1005,866.00,0.00,0.00
2025-06-08 20:01:23,NODE_1,-40,27.60,61.00,1105,874.00,0.00,0.00
2025-06-08 20:01:33,NODE_1,-40,27.70,61.00,1110,862.00,0.00,0.00
2025-06-08 20:01:43,NODE_1,-40,27.50,61.00,1108,848.00,0.00,0.00
2025-06-08 20:01:53,NODE_1,-40,27.60,61.00,1127,814.00,0.00,0.00
2025-06-08 20:02:03,NODE_1,-40,27.00,60.00,1119,866.00,0.00,0.00
2025-06-08 20:02:13,NODE_1,-40,26.60,61.00,1119,847.00,0.00,0.00
2025-06-08 20:02:23,NODE_1,-40,26.60,61.00,1110,850.00,0.00,0.00
2025-06-08 20:02:33,NODE_1,-40,26.20,61.00,1116,837.00,0.00,0.00
2025-06-08 20:02:43,NODE_1,-40,26.10,61.00,1130,848.00,0.00,0.00
2025-06-08 20:02:54,NODE_1,-40,26.50,61.00,1117,843.00,0.00,0.00
2025-06-08 20:03:04,NODE_1,-40,26.60,61.00,1105,816.00,0.00,0.00
2025-06-08 20:03:14,NODE_1,-40,26.60,61.00,1006,789.00,0.00,0.00
2025-06-08 20:03:24,NODE_1,-40,26.40,61.00,963,777.00,0.00,0.00
2025-06-08 20:03:34,NODE_1,-40,26.90,61.00,991,845.00,0.00,0.00
2025-06-08 20:03:44,NODE_1,-40,26.30,61.00,986,868.00,0.00,0.00
2025-06-08 20:03:54,NODE_1,-40,26.10,61.00,986,880.00,0.00,0.00
2025-06-08 20:04:04,NODE_1,-40,26.10,61.00,1003,880.00,0.00,0.00
2025-06-08 20:04:14,NODE_1,-40,26.70,61.00,998,867.00,0.00,0.00
2025-06-08 20:04:24,NODE_1,-40,26.90,61.00,1099,882.00,0.00,0.00
