timestamp,nodeId,rssi,temp,hum,light,co2ppm,soilMoisture,voltage
2025-06-09 12:10:30,NODE_1,-40,26.60,65.00,613,554.00,0.00,7.32
2025-06-09 12:10:40,NODE_1,-40,26.30,65.00,624,551.00,0.00,7.32
2025-06-09 12:10:50,NODE_1,-40,26.70,65.00,641,555.00,0.00,7.32
2025-06-09 12:11:00,NODE_1,-40,26.30,65.00,629,546.00,0.00,7.32
2025-06-09 12:11:10,NODE_1,-40,26.00,65.00,624,560.00,0.00,7.35
2025-06-09 12:11:20,NODE_1,-40,26.30,65.00,631,574.00,0.00,7.31
2025-06-09 12:11:30,NODE_1,-40,26.80,65.00,635,554.00,0.00,7.31
2025-06-09 12:11:40,NODE_1,-40,26.90,65.00,647,559.00,0.00,7.32
2025-06-09 12:11:50,NODE_1,-40,26.90,65.00,641,556.00,0.00,7.32
2025-06-09 12:12:00,NODE_1,-40,26.50,65.00,643,553.00,0.00,7.35
2025-06-09 12:12:11,NODE_1,-40,26.40,65.00,646,547.00,0.00,7.31
2025-06-09 12:12:21,NODE_1,-40,26.60,65.00,650,539.00,0.00,7.32
2025-06-09 12:12:31,NODE_1,-40,26.40,65.00,656,539.00,0.00,7.31
2025-06-09 12:12:41,NODE_1,-40,26.20,65.00,627,532.00,0.00,7.32
2025-06-09 12:13:25,NODE_1,-62,26.90,65.00,597,525.00,0.00,7.32,1
2025-06-09 12:13:35,NODE_1,-63,26.40,65.00,646,538.00,0.00,7.30,1
2025-06-09 12:13:45,NODE_1,-66,26.10,65.00,688,529.00,0.00,7.32,1
2025-06-09 12:13:55,NODE_1,-65,26.70,65.00,818,528.00,0.00,7.27,1
2025-06-09 12:14:05,NODE_1,-63,26.30,64.00,797,511.00,0.00,7.32,1
2025-06-09 12:14:15,NODE_1,-75,26.50,64.00,828,508.00,0.00,7.32,1
2025-06-09 12:14:25,NODE_1,-65,26.90,64.00,789,550.00,0.00,7.31,1
2025-06-09 12:14:35,NODE_1,-65,26.60,64.00,790,497.00,0.00,7.32,1
2025-06-09 12:14:45,NODE_1,-64,26.90,64.00,803,503.00,0.00,7.33,1
2025-06-09 12:14:55,NODE_1,-61,26.30,64.00,806,502.00,0.00,7.42,1
2025-06-09 12:15:05,NODE_1,-64,26.80,64.00,798,528.00,0.00,7.32,1
2025-06-09 12:15:15,NODE_1,-72,26.50,64.00,775,538.00,0.00,7.32,1
2025-06-09 12:15:25,NODE_1,-66,26.00,64.00,818,491.00,0.00,7.31,1
2025-06-09 12:15:35,NODE_1,-69,26.20,64.00,830,539.00,0.00,7.33,1
2025-06-09 12:15:46,NODE_1,-76,26.70,64.00,828,528.00,0.00,7.37,1
2025-06-09 12:15:56,NODE_1,-63,26.90,64.00,803,526.00,0.00,7.35,1
2025-06-09 12:16:06,NODE_1,-66,26.60,64.00,944,496.00,0.00,7.32,1
2025-06-09 12:16:16,NODE_1,-63,26.10,64.00,799,500.00,0.00,7.32,1
2025-06-09 12:16:26,NODE_1,-67,26.90,64.00,783,490.00,0.00,7.32,1
2025-06-09 12:16:36,NODE_1,-67,26.80,64.00,790,495.00,0.00,7.31,1
2025-06-09 12:16:46,NODE_1,-63,26.40,64.00,651,530.00,0.00,7.39,1
2025-06-09 12:16:56,NODE_1,-62,26.00,64.00,716,527.00,0.00,7.31,1
2025-06-09 12:17:06,NODE_1,-61,26.80,64.00,725,495.00,0.00,7.32,1
2025-06-09 12:17:16,NODE_1,-61,26.50,64.00,764,511.00,0.00,7.32,1
2025-06-09 12:17:26,NODE_1,-66,26.20,64.00,720,528.00,0.00,7.36,1
2025-06-09 12:17:36,NODE_1,-62,26.50,64.00,752,511.00,0.00,7.32,1
2025-06-09 12:17:46,NODE_1,-64,26.10,64.00,749,548.00,0.00,7.31,1
2025-06-09 12:17:56,NODE_1,-62,26.00,64.00,738,532.00,0.00,7.33,1
2025-06-09 12:18:06,NODE_1,-64,26.40,64.00,733,492.00,0.00,7.33,1
2025-06-09 12:18:17,NODE_1,-65,27.90,63.00,722,496.00,0.00,7.31,1
2025-06-09 12:18:27,NODE_1,-64,27.80,63.00,733,480.00,0.00,7.32,1
2025-06-09 12:18:37,NODE_1,-62,27.80,63.00,693,485.00,0.00,7.32,1
2025-06-09 12:18:47,NODE_1,-63,27.90,63.00,705,500.00,0.00,7.32,1
2025-06-09 12:18:57,NODE_1,-65,27.40,63.00,704,500.00,0.00,7.32,1
2025-06-09 12:19:07,NODE_1,-62,27.30,63.00,691,495.00,0.00,7.31,1
2025-06-09 12:19:17,NODE_1,-63,27.40,63.00,698,494.00,0.00,7.32,1
2025-06-09 12:19:27,NODE_1,-62,26.90,63.00,701,493.00,0.00,7.36,1
2025-06-09 12:19:37,NODE_1,-62,26.40,64.00,693,496.00,0.00,7.31,1
2025-06-09 12:19:47,NODE_1,-62,26.80,64.00,688,511.00,0.00,7.31,1
2025-06-09 12:19:57,NODE_1,-63,26.70,64.00,691,496.00,0.00,7.36,1
2025-06-09 12:20:07,NODE_1,-62,26.40,64.00,692,497.00,0.00,7.32,1
2025-06-09 12:20:17,NODE_1,-62,26.40,64.00,690,536.00,0.00,7.31,1
2025-06-09 12:20:27,NODE_1,-63,26.70,64.00,676,503.00,0.00,7.32,1
2025-06-09 12:20:37,NODE_1,-64,26.30,64.00,694,503.00,0.00,7.30,1
2025-06-09 12:21:28,NODE_1,-66,26.10,64.00,657,469.00,0.00,7.32,1
2025-06-09 12:21:38,NODE_1,-65,26.40,64.00,695,491.00,0.00,7.32,1
2025-06-09 12:21:48,NODE_1,-63,26.50,64.00,688,509.00,0.00,7.32,1
2025-06-09 12:21:58,NODE_1,-63,26.50,64.00,688,496.00,0.00,7.27,1
2025-06-09 12:22:08,NODE_1,-63,27.50,63.00,688,493.00,0.00,7.34,1
2025-06-09 12:22:18,NODE_1,-62,27.70,63.00,690,507.00,0.00,7.32,1
2025-06-09 12:22:28,NODE_1,-57,27.30,63.00,695,491.00,0.00,7.32,1
2025-06-09 12:22:38,NODE_1,-60,27.90,63.00,702,466.00,0.00,7.33,1
2025-06-09 12:22:49,NODE_1,-61,27.40,63.00,693,490.00,0.00,7.32,1
2025-06-09 12:22:59,NODE_1,-64,27.50,63.00,688,511.00,0.00,7.32,1
2025-06-09 12:23:09,NODE_1,-60,27.60,63.00,688,482.00,0.00,7.35,1
2025-06-09 12:23:19,NODE_1,-61,27.90,63.00,691,491.00,0.00,7.32,1
2025-06-09 12:23:29,NODE_1,-62,27.40,62.00,688,489.00,0.00,7.32,1
2025-06-09 12:23:39,NODE_1,-63,27.30,62.00,699,528.00,0.00,7.32,1
2025-06-09 12:23:49,NODE_1,-63,27.60,62.00,745,511.00,0.00,7.35,1
2025-06-09 12:23:59,NODE_1,-64,27.40,62.00,762,539.00,0.00,7.33,1
2025-06-09 12:24:09,NODE_1,-61,27.70,62.00,753,532.00,0.00,7.32,1
2025-06-09 12:24:19,NODE_1,-62,27.50,62.00,753,507.00,0.00,7.32,1
2025-06-09 12:24:29,NODE_1,-62,27.70,62.00,753,511.00,0.00,7.32,1
2025-06-09 12:24:39,NODE_1,-63,27.40,62.00,757,511.00,0.00,7.32,1
