timestamp,nodeId,rssi,temp,hum,light,co2ppm,soilMoisture,voltage
2025-06-07 13:10:23,NODE_1,-40,27.60,49.00,365,259.00,0.00,3.80
2025-06-07 13:10:33,NODE_1,-40,27.60,49.00,365,259.00,0.00,3.80
2025-06-07 13:10:43,NODE_1,-40,27.60,49.00,365,259.00,0.00,3.80
2025-06-07 13:10:53,NODE_1,-40,0.00,0.00,0,0.00,0.00,0.00
2025-06-07 13:11:03,NODE_1,-40,27.30,49.00,596,1322.00,0.00,6.77
2025-06-07 13:11:13,NODE_1,-40,27.70,49.00,597,839.00,0.00,7.10
2025-06-07 13:11:23,NODE_1,-40,27.80,49.00,708,573.00,0.00,6.82
2025-06-07 13:11:33,NODE_1,-40,27.80,49.00,689,511.00,0.00,7.17
2025-06-07 13:11:43,NODE_1,-40,27.00,49.00,642,469.00,0.00,6.86
2025-06-07 13:11:53,NODE_1,-40,27.60,49.00,595,453.00,0.00,6.86
2025-06-07 13:12:03,NODE_1,-40,27.00,49.00,596,447.00,0.00,7.15
2025-06-07 13:12:13,NODE_1,-40,27.20,50.00,691,454.00,0.00,6.82
2025-06-07 13:12:23,NODE_1,-40,27.60,49.00,683,447.00,0.00,6.93
2025-06-07 13:12:33,NODE_1,-40,27.10,49.00,694,445.00,0.00,6.89
2025-06-07 13:12:43,NODE_1,-40,27.80,49.00,637,446.00,0.00,6.79
2025-06-07 13:12:53,NODE_1,-40,27.00,49.00,688,438.00,0.00,6.91
2025-06-07 13:13:03,NODE_1,-40,27.70,49.00,687,437.00,0.00,7.12
2025-06-07 13:13:13,NODE_1,-40,27.30,49.00,653,438.00,0.00,6.92
2025-06-07 13:13:23,NODE_1,-40,26.30,49.00,759,443.00,0.00,7.12
2025-06-07 13:13:33,NODE_1,-40,26.60,49.00,726,433.00,0.00,7.10
2025-06-07 13:13:43,NODE_1,-40,26.20,49.00,720,442.00,0.00,7.06
2025-06-07 13:13:54,NODE_1,-40,26.20,50.00,651,438.00,0.00,6.84
2025-06-07 13:14:04,NODE_1,-40,26.00,50.00,691,450.00,0.00,7.03
2025-06-07 13:14:14,NODE_1,-40,26.80,50.00,685,444.00,0.00,6.95
2025-06-07 13:14:24,NODE_1,-40,26.40,50.00,688,448.00,0.00,6.93
2025-06-07 13:14:34,NODE_1,-40,26.50,50.00,695,447.00,0.00,6.79
2025-06-07 13:14:44,NODE_1,-40,26.90,50.00,675,442.00,0.00,6.86
2025-06-07 13:14:54,NODE_1,-40,26.60,50.00,683,443.00,0.00,6.93
2025-06-07 13:15:04,NODE_1,-40,26.20,50.00,685,443.00,0.00,6.82
2025-06-07 13:15:14,NODE_1,-40,26.70,49.00,698,446.00,0.00,6.93
2025-06-07 13:15:24,NODE_1,-40,26.20,49.00,697,446.00,0.00,6.98
2025-06-07 13:15:34,NODE_1,-40,26.50,50.00,679,444.00,0.00,7.08
2025-06-07 13:15:44,NODE_1,-40,26.40,50.00,687,447.00,0.00,6.97
2025-06-07 13:15:54,NODE_1,-40,26.90,50.00,675,443.00,0.00,6.84
2025-06-07 13:16:04,NODE_1,-40,26.50,49.00,688,438.00,0.00,6.86
2025-06-07 13:16:14,NODE_1,-40,26.70,49.00,718,438.00,0.00,7.09
2025-06-07 13:16:24,NODE_1,-40,26.30,49.00,624,445.00,0.00,6.91
